"","x"
"897","Ch25h"
"898","Ifit2"
"899","Ifit3"
"900","Ifit1bl1"
"901","Ifit3b"
"902","Ifit1bl2"
"903","Ifit1"
"904","Pcgf5"
"905","Cpeb3"
"906","Marchf5"
"907","Hhex"
"908","Exoc6"
"909","Ccnj"
"910","Blnk"
"911","Ubtd1"
"912","Cutc"
"913","Scd2"
"914","Twnk"
"915","Lzts2"
"916","Pprc1"
"917","Psd"
"918","Trim8"
"919","Pcgf6"
"920","Itprip"
"921","Ppnr"
"922","Nrap"
"923","Casp7"
"924","Rpp38"
"925","Fam107b"
"926","Frmd4a"
"927","Phyh"
"928","Mcm10"
"929","Il15ra"
"930","Trdmt1"
"931","Msrb2"
"932","Otud1"
"933","Apbb1ip"
"934","Pdss1"
"935","Mastl"
"936","Zmynd19"
"937","Sapcd2"
"938","Gpsm1"
"939","Snapc4"
"940","Snhg7"
"941","Surf2"
"942","Vav2"
"943","Gfi1b"
"944","6530402F18Rik"
"945","Tbc1d13"
"946","Ptges"
"947","Ass1"
"948","Fam78a"
"949","Lcn2"
"950","Fam102a"
"951","Stxbp1"
"952","Snora65"
"953","Phf19"
"954","Lhx2"
"955","Nek6"
"956","Kif5c"
"957","Rnd3"
"958","Rbm43"
"959","Nmi"
"960","Cytip"
"961","Acvr1"
"962","Tanc1"
"963","Pla2r1"
"964","Fap"
"965","Ifih1"
"966","Gca"
"967","Dhrs9"
"968","Ccdc173"
"969","Dync1i2"
"970","Slc25a12"
"971","Hat1"
"972","Cdca7"
"973","Gpr155"
"974","Nfe2l2"
"975","Ube2l6"
"976","Slc39a13"
"977","Mybpc3"
"978","Lrp4"
"979","Cry2"
"980","Trp53i11"
"981","Gm13889"
"982","Abtb2"
"983","Lmo2"
"984","Depdc7"
"985","Prrg4"
"986","Zfp770"
"987","Spred1"
"988","Inafm2"
"989","Bahd1"
"990","Rpusd2"
"991","Rmdn3"
"992","Oip5"
"993","Mapkbp1"
"994","Ehd4"
"995","Cdan1"
"996","Zscan29"
"997","B2m"
"998","Slc28a2"
"999","Bambi-ps1"
"1000","Gatm"
"1001","AA467197"
"1002","Bloc1s6"
"1003","Fbn1"
"1004","Hdc"
"1005","Itpripl1"
"1006","Stard7"
"1007","Dusp2"
"1008","Mertk"
"1009","Zc3h6"
"1010","Polr1b"
"1011","Slc20a1"
"1012","Ckap2l"
"1013","Gm14023"
"1014","Il1a"
"1015","Il1b"
"1016","Il1bos"
"1017","Nop56"
"1018","Slc4a11"
"1019","Adam33"
"1020","Prnp"
"1021","Rassf2"
"1022","Slc23a2"
"1023","Pcna"
"1024","Bmp2"
"1025","Flrt3"
"1026","Rin2"
"1027","A930019D19Rik"
"1028","Cst7"
"1029","Acss1"
"1030","Srxn1"
"1031","Tspyl3"
"1032","Plagl2"
"1033","2500004C02Rik"
"1034","Asxl1"
"1035","Nol4l"
"1036","Cnbd2"
"1037","5430405H02Rik"
"1038","Soga1"
"1039","Samhd1"
"1040","Rbl1"
"1041","Src"
"1042","Snhg17"
"1043","Fam83d"
"1044","Oser1"
"1045","Zswim1"
"1046","Mmp9"
"1047","Slc13a3"
"1048","Trp53rka"
"1049","Ncoa3"
"1050","Stau1"
"1051","Znfx1"
"1052","Rnf114"
"1053","Cebpb"
"1054","Nfatc2"
"1055","Zbp1"
"1056","Pmepa1"
"1057","Rab22a"
"1058","Stx16"
"1059","Slco4a1"
"1060","Ogfr"
"1061","Col9a3"
"1062","Ythdf1"
"1063","Helz2"
"1064","Zc2hc1a"
"1065","Gm5150"
"1066","Pde7a"
"1067","Cp"
"1068","Hps3"
"1069","Gyg"
"1070","Nceh1"
"1071","Tnfsf10"
"1072","Gpr160"
"1073","Gnb4"
"1074","Atp11b"
"1075","Bltp1"
"1076","Bbs12"
"1077","Jade1"
"1078","Slc7a11"
"1079","Serp1"
"1080","Siah2"
"1081","P2ry14"
"1082","F630111L10Rik"
"1083","P2ry13"
"1084","P2ry12"
"1085","Rap2b"
"1086","Kcnab1"
"1087","Tiparp"
"1088","Gm6634"
"1089","Pdcd10"
"1090","Tmem154"
"1091","Fbxw7"
"1092","Mef2d"
"1093","1700113A16Rik"
"1094","Sema4a"
"1095","Pygo2"
"1096","Pbxip1"
"1097","Adar"
"1098","Pogz"
"1099","A730011C13Rik"
"1100","Tnfaip8l2"
"1101","C920021L13Rik"
"1102","BC028528"
"1103","Mtmr11"
"1104","Fcgr1"
"1105","Nudt17"
"1106","Rnf115"
"1107","Bcl9"
"1108","Prkab2"
"1109","Tent5c"
"1110","Mab21l3"
"1111","Rsbn1"
"1112","Phtf1os"
"1113","Mov10"
"1114","I830077J02Rik"
"1115","Dennd2d"
"1116","Cept1"
"1117","Dram2"
"1118","Kcna3"
"1119","AI504432"
"1120","Csf1"
"1121","Gpsm2"
"1122","Stxbp3"
"1123","Slc25a24"
"1124","Prmt6"
"1125","S1pr1"
"1126","Vcam1"
"1127","Trmt13"
"1128","Sass6"
"1129","Cnn3"
"1130","Gm17494"
"1131","Bcar3"
"1132","Usp53"
"1133","Tifa"
"1134","Gar1"
"1135","Sec24b"
"1136","Cenpe"
"1137","Mttp"
"1138","Pdlim5"
"1139","Gbp5"
"1140","Gbp7"
"1141","Gbp3"
"1142","Gbp2"
"1143","Adgrl2"
"1144","Ifi44"
"1145","Tyw3"
"1146","Plag1"
"1147","Fam110b"
"1148","Sdcbp"
"1149","Nsmaf"
"1150","Chd7"
"1151","Plekhf2"
"1152","Rad54b"
"1153","Pdp1"
"1154","Tmem67"
"1155","Ripk2"
"1156","Cpne3"
"1157","Mdn1"
"1158","Rigi"
"1159","Fam219aos"
"1160","Dnajb5"
"1161","Atosb"
"1162","Arhgef39"
"1163","Gba2"
"1164","Glipr2"
"1165","Zbtb5"
"1166","Aldh1b1"
"1167","Tdrd7"
"1168","Coro2a"
"1169","Tmem38b"
"1170","Klf4"
"1171","Lpar1"
"1172","Ugcg"
"1173","Snx30"
"1174","Prpf4"
"1175","Zfp618"
"1176","Col27a1"
"1177","Akna"
"1178","Tnfsf8"
"1179","Tlr4"
"1180","Tle1"
"1181","Ttc39b"
"1182","Plin2"
"1183","Mllt3"
"1184","Ifnb1"
"1185","Cdkn2b"
"1186","Jun"
"1187","E130102H24Rik"
"1188","Pde4b"
"1189","Mier1"
"1190","Tut4"
"1191","Prpf38a"
"1192","Mob3c"
"1193","Tesk2"
"1194","Btbd19"
"1195","Plk3"
"1196","St3gal3"
"1197","Kdm4a"
"1198","Cdc20"
"1199","Hivep3"
"1200","Zfp69"
"1201","Mycl"
"1202","Pou3f1"
"1203","Zc3h12a"
"1204","Lsm10"
"1205","Stk40"
"1206","Eva1b"
"1207","Sh3d21"
"1208","Map7d1"
"1209","Ago3"
"1210","Ago1"
"1211","Phc2"
"1212","Zfp362"
"1213","Rnf19b"
"1214","Zbtb8a"
"1215","Lck"
"1216","Ccdc28b"
"1217","Snhg12"
"1218","Snora73a"
"1219","Xkr8"
"1220","Themis2"
"1221","Ahdc1"
"1222","Clic4"
"1223","Cnr2"
"1224","Id3"
"1225","Asap3"
"1226","Luzp1"
"1227","Arhgef10l"
"1228","Fbxo42"
"1229","Tmem51"
"1230","Vps13d"
"1231","Tnfrsf1b"
"1232","Tnfrsf8"
"1233","Mthfr"
"1234","Draxin"
"1235","Casz1"
"1236","Pik3cd"
"1237","Slc25a33"
"1238","Spsb1"
"1239","Rere"
"1240","Errfi1"
"1241","Per3"
"1242","Klhl21"
"1243","Nol9"
"1244","Plekhg5"
"1245","Atad3a"
"1246","Isg15"
"1247","AW011738"
"1248","Perm1"
"1249","Plekhn1"
"1250","Ankib1"
"1251","Abcb1a"
"1252","Tmem243"
"1253","Rsbn1l"
"1254","Fgl2"
"1255","Napepld"
"1256","2700038G22Rik"
"1257","Agap3"
"1258","Smarcd3"
"1259","Nub1"
"1260","2900005J15Rik"
"1261","Fosl2"
"1262","Prr14l"
"1263","D5Ertd579e"
"1264","Bst1"
"1265","Cd38"
"1266","9230114K14Rik"
"1267","Arap2"
"1268","Rhoh"
"1269","Rbm47"
"1270","Bend4"
"1271","Shisa3"
